2023-09-03 20:42:58 RAM 3326/3956MB (lfb 27x4MB) SWAP 1456/4026MB (cached 117MB) CPU [24%@204,25%@204,29%@204,23%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@43C PMIC@50C GPU@41.5C AO@50.5C thermal@42.75C
2023-09-03 20:43:58 RAM 3324/3956MB (lfb 27x4MB) SWAP 1456/4026MB (cached 117MB) CPU [28%@204,24%@204,28%@204,23%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@43.5C PMIC@50C GPU@41.5C AO@50.5C thermal@42.5C
2023-09-03 20:44:58 RAM 3325/3956MB (lfb 27x4MB) SWAP 1456/4026MB (cached 117MB) CPU [28%@1479,31%@1479,25%@1479,27%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@44.5C PMIC@50C GPU@41.5C AO@51C thermal@43C
2023-09-03 20:45:58 RAM 3327/3956MB (lfb 27x4MB) SWAP 1456/4026MB (cached 117MB) CPU [25%@1479,23%@1479,25%@1479,27%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@44C PMIC@50C GPU@41C AO@50.5C thermal@42C
2023-09-03 20:46:58 RAM 3322/3956MB (lfb 27x4MB) SWAP 1455/4026MB (cached 117MB) CPU [27%@403,26%@403,21%@403,25%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@43.5C PMIC@50C GPU@41.5C AO@50.5C thermal@42.5C
2023-09-03 20:47:58 RAM 3327/3956MB (lfb 27x4MB) SWAP 1455/4026MB (cached 117MB) CPU [27%@403,26%@403,30%@403,26%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@43.5C PMIC@50C GPU@41.5C AO@50.5C thermal@42.75C
2023-09-03 20:48:58 RAM 3323/3956MB (lfb 27x4MB) SWAP 1455/4026MB (cached 117MB) CPU [27%@204,25%@204,32%@204,23%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@43.5C PMIC@50C GPU@41C AO@50.5C thermal@42.25C
2023-09-03 20:49:58 RAM 3330/3956MB (lfb 27x4MB) SWAP 1455/4026MB (cached 117MB) CPU [25%@1479,24%@1479,21%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@43.5C PMIC@50C GPU@41C AO@51C thermal@42C
2023-09-03 20:50:58 RAM 3336/3956MB (lfb 27x4MB) SWAP 1454/4026MB (cached 117MB) CPU [29%@307,26%@307,26%@307,28%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@43.5C PMIC@50C GPU@41.5C AO@51C thermal@43.5C
2023-09-03 20:51:58 RAM 3331/3956MB (lfb 27x4MB) SWAP 1454/4026MB (cached 117MB) CPU [28%@1224,27%@1224,33%@1224,24%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@44C PMIC@50C GPU@41.5C AO@51C thermal@43.25C
2023-09-03 20:52:58 RAM 3332/3956MB (lfb 27x4MB) SWAP 1454/4026MB (cached 117MB) CPU [25%@403,24%@403,20%@403,20%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@44C PMIC@50C GPU@42.5C AO@51C thermal@43C
2023-09-03 20:53:58 RAM 3335/3956MB (lfb 27x4MB) SWAP 1454/4026MB (cached 117MB) CPU [30%@307,26%@307,24%@307,29%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@44.5C PMIC@50C GPU@42C AO@51C thermal@42.75C
2023-09-03 20:54:58 RAM 3329/3956MB (lfb 27x4MB) SWAP 1454/4026MB (cached 117MB) CPU [26%@1479,25%@1479,32%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@44.5C PMIC@50C GPU@42C AO@51.5C thermal@43.5C
2023-09-03 20:55:58 RAM 3337/3956MB (lfb 27x4MB) SWAP 1454/4026MB (cached 117MB) CPU [24%@1479,22%@1479,18%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@44.5C PMIC@50C GPU@42C AO@52C thermal@44.25C
2023-09-03 20:56:58 RAM 3333/3956MB (lfb 27x4MB) SWAP 1453/4026MB (cached 117MB) CPU [28%@1479,32%@1479,25%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@45.5C PMIC@50C GPU@42C AO@52C thermal@43.25C
2023-09-03 20:57:58 RAM 3355/3956MB (lfb 27x4MB) SWAP 1453/4026MB (cached 117MB) CPU [30%@1224,26%@1224,29%@1224,29%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44.5C PMIC@50C GPU@42.5C AO@52C thermal@43.75C
2023-09-03 20:58:58 RAM 3336/3956MB (lfb 27x4MB) SWAP 1453/4026MB (cached 117MB) CPU [23%@1479,21%@1479,24%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44C PMIC@50C GPU@42C AO@52C thermal@43C
2023-09-03 20:59:58 RAM 3334/3956MB (lfb 27x4MB) SWAP 1453/4026MB (cached 117MB) CPU [29%@307,29%@307,29%@307,29%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@44.5C PMIC@50C GPU@42.5C AO@52C thermal@43.25C
2023-09-03 21:00:58 RAM 3338/3956MB (lfb 27x4MB) SWAP 1453/4026MB (cached 117MB) CPU [29%@403,28%@403,27%@403,27%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44.5C PMIC@50C GPU@43C AO@52C thermal@43.25C
2023-09-03 21:01:58 RAM 3338/3956MB (lfb 27x4MB) SWAP 1453/4026MB (cached 118MB) CPU [30%@403,23%@403,20%@403,19%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@44.5C PMIC@50C GPU@42C AO@52C thermal@43.75C
2023-09-03 21:02:58 RAM 3334/3956MB (lfb 27x4MB) SWAP 1453/4026MB (cached 118MB) CPU [27%@307,26%@307,26%@307,27%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@44.5C PMIC@50C GPU@42C AO@52C thermal@43.5C
2023-09-03 21:03:58 RAM 3339/3956MB (lfb 27x4MB) SWAP 1453/4026MB (cached 118MB) CPU [28%@1479,30%@1479,26%@1479,27%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@45C PMIC@50C GPU@42.5C AO@51.5C thermal@43C
2023-09-03 21:04:58 RAM 3330/3956MB (lfb 27x4MB) SWAP 1453/4026MB (cached 118MB) CPU [25%@710,25%@710,23%@710,26%@710] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@44.5C PMIC@50C GPU@42C AO@51.5C thermal@43.25C
2023-09-03 21:05:58 RAM 3334/3956MB (lfb 27x4MB) SWAP 1453/4026MB (cached 118MB) CPU [26%@1479,26%@1479,22%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@45.5C PMIC@50C GPU@42C AO@51.5C thermal@43.5C
2023-09-03 21:06:58 RAM 3334/3956MB (lfb 27x4MB) SWAP 1450/4026MB (cached 118MB) CPU [32%@1479,28%@1479,25%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 46% PLL@40C CPU@45C PMIC@50C GPU@42.5C AO@52C thermal@43.5C
2023-09-03 21:07:58 RAM 3330/3956MB (lfb 27x4MB) SWAP 1450/4026MB (cached 118MB) CPU [28%@204,28%@204,27%@204,23%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@45C PMIC@50C GPU@42.5C AO@51.5C thermal@43.75C
2023-09-03 21:08:58 RAM 3336/3956MB (lfb 27x4MB) SWAP 1441/4026MB (cached 123MB) CPU [26%@307,24%@307,27%@307,20%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@44.5C PMIC@50C GPU@42.5C AO@51.5C thermal@43.75C
2023-09-03 21:09:58 RAM 3343/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 123MB) CPU [25%@1479,28%@1479,30%@1479,27%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@45C PMIC@50C GPU@42.5C AO@52.5C thermal@44.25C
2023-09-03 21:10:58 RAM 3333/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 123MB) CPU [28%@204,26%@204,31%@204,28%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@45C PMIC@50C GPU@42.5C AO@52C thermal@43.5C
2023-09-03 21:11:58 RAM 3336/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 123MB) CPU [24%@1479,23%@1479,19%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@44.5C PMIC@50C GPU@42.5C AO@52C thermal@43.75C
2023-09-03 21:12:58 RAM 3332/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 123MB) CPU [27%@307,26%@307,28%@307,30%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@45C PMIC@50C GPU@43C AO@52C thermal@44C
2023-09-03 21:13:58 RAM 3337/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 123MB) CPU [28%@1479,29%@1479,33%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@45.5C PMIC@50C GPU@42.5C AO@52.5C thermal@44C
2023-09-03 21:14:58 RAM 3341/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 123MB) CPU [25%@1479,24%@1479,22%@1479,18%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@45.5C PMIC@50C GPU@42.5C AO@52.5C thermal@43.75C
2023-09-03 21:15:58 RAM 3334/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 122MB) CPU [28%@1036,32%@1036,27%@1036,24%@1036] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@45.5C PMIC@50C GPU@42.5C AO@52.5C thermal@44.25C
2023-09-03 21:16:58 RAM 3339/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 122MB) CPU [26%@1479,33%@1479,25%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@45.5C PMIC@50C GPU@42.5C AO@52.5C thermal@44C
2023-09-03 21:17:58 RAM 3341/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 123MB) CPU [21%@1479,24%@1479,24%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C CPU@45.5C PMIC@50C GPU@42.5C AO@52.5C thermal@43.75C
2023-09-03 21:18:58 RAM 3335/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 122MB) CPU [29%@1479,28%@1479,31%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@45C PMIC@50C GPU@42C AO@52C thermal@43.5C
2023-09-03 21:19:58 RAM 3341/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 122MB) CPU [32%@307,28%@307,24%@307,25%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@44.5C PMIC@50C GPU@43C AO@52.5C thermal@43.75C
2023-09-03 21:20:58 RAM 3339/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 122MB) CPU [27%@307,24%@307,20%@307,20%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@45C PMIC@50C GPU@42.5C AO@52C thermal@43.5C
2023-09-03 21:21:58 RAM 3336/3956MB (lfb 27x4MB) SWAP 1440/4026MB (cached 122MB) CPU [26%@1479,28%@1479,30%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@45.5C PMIC@50C GPU@42.5C AO@52C thermal@43.5C
