2023-09-01 09:04:48 RAM 3524/3956MB (lfb 1x4MB) SWAP 1405/4026MB (cached 156MB) CPU [24%@710,30%@710,28%@710,26%@710] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@35.5C AO@44C thermal@36.5C
2023-09-01 09:05:48 RAM 3518/3956MB (lfb 1x4MB) SWAP 1405/4026MB (cached 156MB) CPU [27%@204,27%@204,26%@204,29%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@38C PMIC@50C GPU@35.5C AO@44C thermal@36.25C
2023-09-01 09:06:48 RAM 3523/3956MB (lfb 1x4MB) SWAP 1405/4026MB (cached 156MB) CPU [25%@1326,24%@1326,17%@1326,18%@1326] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35.5C AO@44C thermal@36.5C
2023-09-01 09:07:48 RAM 3526/3956MB (lfb 1x4MB) SWAP 1405/4026MB (cached 156MB) CPU [30%@1036,30%@1036,24%@1036,23%@1036] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@44C thermal@36C
2023-09-01 09:08:48 RAM 3523/3956MB (lfb 1x4MB) SWAP 1403/4026MB (cached 157MB) CPU [30%@1479,30%@1479,26%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@38C PMIC@50C GPU@35C AO@44.5C thermal@36.25C
2023-09-01 09:09:48 RAM 3538/3956MB (lfb 1x4MB) SWAP 1409/4026MB (cached 157MB) CPU [27%@1479,19%@1479,22%@1479,17%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@39C PMIC@50C GPU@35C AO@43.5C thermal@36C
2023-09-01 09:10:48 RAM 3530/3956MB (lfb 1x4MB) SWAP 1409/4026MB (cached 157MB) CPU [28%@1479,26%@1479,24%@1479,29%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@39C PMIC@50C GPU@35C AO@43.5C thermal@36.25C
2023-09-01 09:11:48 RAM 3526/3956MB (lfb 1x4MB) SWAP 1412/4026MB (cached 157MB) CPU [30%@307,27%@307,24%@307,27%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@37.25C
2023-09-01 09:12:48 RAM 3526/3956MB (lfb 1x4MB) SWAP 1419/4026MB (cached 157MB) CPU [28%@307,22%@307,16%@307,19%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@43.5C thermal@35.5C
2023-09-01 09:13:48 RAM 3529/3956MB (lfb 1x4MB) SWAP 1419/4026MB (cached 157MB) CPU [25%@518,29%@518,26%@518,27%@518] EMC_FREQ 0% GR3D_FREQ 71% PLL@33C CPU@37C PMIC@50C GPU@35C AO@43.5C thermal@35.75C
2023-09-01 09:14:48 RAM 3526/3956MB (lfb 1x4MB) SWAP 1419/4026MB (cached 157MB) CPU [32%@307,28%@307,23%@518,26%@518] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@43.5C thermal@36C
2023-09-01 09:15:48 RAM 3529/3956MB (lfb 1x4MB) SWAP 1419/4026MB (cached 157MB) CPU [26%@1479,17%@1479,17%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@38.5C PMIC@50C GPU@34.5C AO@44C thermal@35.75C
2023-09-01 09:16:48 RAM 3534/3956MB (lfb 1x4MB) SWAP 1419/4026MB (cached 157MB) CPU [31%@1479,28%@1479,24%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@38C PMIC@50C GPU@35C AO@44C thermal@36.75C
2023-09-01 09:17:48 RAM 3537/3956MB (lfb 1x4MB) SWAP 1420/4026MB (cached 157MB) CPU [32%@204,28%@204,24%@204,22%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@44C thermal@36.25C
2023-09-01 09:18:48 RAM 3534/3956MB (lfb 1x4MB) SWAP 1419/4026MB (cached 157MB) CPU [23%@204,22%@204,22%@204,18%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@34.5C AO@43.5C thermal@36.25C
2023-09-01 09:19:48 RAM 3536/3956MB (lfb 1x4MB) SWAP 1420/4026MB (cached 157MB) CPU [26%@1479,24%@1479,29%@1479,26%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@34.5C AO@44C thermal@37C
