2023-09-05 03:54:55 RAM 3528/3956MB (lfb 7x4MB) SWAP 2014/4026MB (cached 37MB) CPU [34%@1224,30%@1224,33%@1224,32%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36.5C PMIC@50C GPU@35C AO@44.5C thermal@35.75C
2023-09-05 03:55:55 RAM 3522/3956MB (lfb 7x4MB) SWAP 2014/4026MB (cached 37MB) CPU [33%@1479,33%@1479,33%@1479,35%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@34.5C AO@44.5C thermal@36.25C
2023-09-05 03:56:55 RAM 3528/3956MB (lfb 7x4MB) SWAP 2013/4026MB (cached 35MB) CPU [25%@1479,24%@1479,24%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@38C PMIC@50C GPU@35C AO@44.5C thermal@35.75C
2023-09-05 03:57:55 RAM 3526/3956MB (lfb 7x4MB) SWAP 2013/4026MB (cached 35MB) CPU [34%@1224,30%@1224,34%@1224,30%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@44.5C thermal@36.25C
2023-09-05 03:58:55 RAM 3526/3956MB (lfb 7x4MB) SWAP 2013/4026MB (cached 35MB) CPU [31%@1479,29%@1479,32%@1479,27%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@34.5C AO@44.5C thermal@35.75C
2023-09-05 03:59:55 RAM 3525/3956MB (lfb 7x4MB) SWAP 2013/4026MB (cached 35MB) CPU [26%@1479,27%@1479,28%@1479,29%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-05 04:00:55 RAM 3527/3956MB (lfb 7x4MB) SWAP 2013/4026MB (cached 35MB) CPU [34%@1224,32%@1224,33%@1224,30%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@44C thermal@36C
2023-09-05 04:01:55 RAM 3527/3956MB (lfb 7x4MB) SWAP 2013/4026MB (cached 35MB) CPU [27%@1224,25%@1224,27%@1224,24%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@34.5C AO@44.5C thermal@35.75C
2023-09-05 04:02:55 RAM 3526/3956MB (lfb 7x4MB) SWAP 2013/4026MB (cached 35MB) CPU [31%@1479,30%@1479,33%@1479,32%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36.25C
2023-09-05 04:03:55 RAM 3532/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 38MB) CPU [34%@1479,33%@1479,33%@1479,30%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@34.5C AO@44C thermal@36.25C
2023-09-05 04:04:55 RAM 3538/3956MB (lfb 7x4MB) SWAP 2011/4026MB (cached 38MB) CPU [25%@1479,25%@1479,23%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@44C thermal@35.75C
