2023-09-04 00:50:20 RAM 3231/3956MB (lfb 22x4MB) SWAP 1736/4026MB (cached 137MB) CPU [29%@403,26%@403,28%@403,27%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36C PMIC@50C GPU@34C AO@43C thermal@34.5C
2023-09-04 00:51:20 RAM 3233/3956MB (lfb 22x4MB) SWAP 1733/4026MB (cached 138MB) CPU [29%@307,24%@307,24%@307,29%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@31.5C CPU@35.5C PMIC@50C GPU@34C AO@42.5C thermal@34.75C
2023-09-04 00:52:20 RAM 3234/3956MB (lfb 22x4MB) SWAP 1734/4026MB (cached 138MB) CPU [27%@307,24%@307,21%@307,22%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@31.5C CPU@35.5C PMIC@50C GPU@34C AO@42.5C thermal@34.5C
2023-09-04 00:53:20 RAM 3231/3956MB (lfb 22x4MB) SWAP 1736/4026MB (cached 138MB) CPU [27%@1479,22%@1479,22%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@37.5C PMIC@50C GPU@34.5C AO@43C thermal@35.25C
2023-09-04 00:54:20 RAM 3236/3956MB (lfb 22x4MB) SWAP 1731/4026MB (cached 138MB) CPU [26%@307,27%@307,28%@307,25%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@34.5C CPU@38.5C PMIC@50C GPU@36.5C AO@45.5C thermal@37.5C
2023-09-04 00:55:20 RAM 3228/3956MB (lfb 22x4MB) SWAP 1733/4026MB (cached 138MB) CPU [31%@1479,27%@1479,26%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@35.5C CPU@40C PMIC@50C GPU@37C AO@46C thermal@38C
2023-09-04 00:56:20 RAM 3229/3956MB (lfb 22x4MB) SWAP 1733/4026MB (cached 138MB) CPU [26%@204,23%@204,25%@204,24%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@35.5C CPU@39.5C PMIC@50C GPU@37.5C AO@46.5C thermal@38.5C
2023-09-04 00:57:20 RAM 3233/3956MB (lfb 22x4MB) SWAP 1735/4026MB (cached 138MB) CPU [27%@1428,23%@1428,23%@1428,22%@1428] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@39.5C PMIC@50C GPU@38C AO@47C thermal@39.5C
2023-09-04 00:58:20 RAM 3229/3956MB (lfb 22x4MB) SWAP 1735/4026MB (cached 138MB) CPU [28%@204,28%@204,27%@204,26%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@40C PMIC@50C GPU@38C AO@47C thermal@39C
2023-09-04 00:59:20 RAM 3232/3956MB (lfb 22x4MB) SWAP 1735/4026MB (cached 138MB) CPU [32%@307,26%@307,25%@307,25%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@40C PMIC@50C GPU@38C AO@47C thermal@39.5C
2023-09-04 01:00:20 RAM 3232/3956MB (lfb 22x4MB) SWAP 1735/4026MB (cached 138MB) CPU [31%@1479,25%@1479,22%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@40C PMIC@50C GPU@38.5C AO@47C thermal@39C
2023-09-04 01:01:20 RAM 3228/3956MB (lfb 22x4MB) SWAP 1735/4026MB (cached 138MB) CPU [26%@307,23%@307,21%@307,19%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@40.5C PMIC@50C GPU@38.5C AO@47C thermal@39.25C
2023-09-04 01:02:20 RAM 3230/3956MB (lfb 22x4MB) SWAP 1737/4026MB (cached 138MB) CPU [29%@921,26%@921,26%@921,28%@921] EMC_FREQ 0% GR3D_FREQ 99% PLL@36.5C CPU@40C PMIC@50C GPU@38.5C AO@47C thermal@39C
2023-09-04 01:03:20 RAM 3232/3956MB (lfb 22x4MB) SWAP 1737/4026MB (cached 138MB) CPU [31%@307,24%@307,25%@307,25%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@35.5C CPU@39.5C PMIC@50C GPU@38C AO@47C thermal@39C
2023-09-04 01:04:20 RAM 3224/3956MB (lfb 22x4MB) SWAP 1737/4026MB (cached 138MB) CPU [30%@1479,28%@1479,26%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@40C PMIC@50C GPU@37.5C AO@47C thermal@39C
