2023-08-28 00:03:32 RAM 3438/3956MB (lfb 10x1MB) SWAP 1554/4026MB (cached 126MB) CPU [19%@1479,19%@1479,19%@1479,18%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@48.5C PMIC@50C GPU@44.5C AO@55C thermal@46.25C
2023-08-28 00:04:32 RAM 3441/3956MB (lfb 10x1MB) SWAP 1554/4026MB (cached 126MB) CPU [16%@1479,16%@1479,18%@1479,18%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@47.5C PMIC@50C GPU@45.5C AO@54.5C thermal@46C
2023-08-28 00:05:32 RAM 3444/3956MB (lfb 10x1MB) SWAP 1553/4026MB (cached 126MB) CPU [19%@1224,18%@1224,20%@1224,21%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47C PMIC@50C GPU@45C AO@54.5C thermal@46.25C
2023-08-28 00:06:32 RAM 3442/3956MB (lfb 10x1MB) SWAP 1553/4026MB (cached 126MB) CPU [17%@1479,22%@1479,21%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@47.5C PMIC@50C GPU@45C AO@54.5C thermal@46.5C
2023-08-28 00:07:32 RAM 3445/3956MB (lfb 10x1MB) SWAP 1553/4026MB (cached 126MB) CPU [18%@1224,18%@1224,24%@1224,20%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47C PMIC@50C GPU@45.5C AO@54.5C thermal@46.75C
2023-08-28 00:08:32 RAM 3446/3956MB (lfb 10x1MB) SWAP 1553/4026MB (cached 126MB) CPU [12%@1479,19%@1479,19%@1479,15%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@47.5C PMIC@50C GPU@45C AO@54.5C thermal@46C
2023-08-28 00:09:32 RAM 3441/3956MB (lfb 10x1MB) SWAP 1553/4026MB (cached 126MB) CPU [17%@1479,20%@1479,20%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@48C PMIC@50C GPU@45C AO@55C thermal@46.25C
2023-08-28 00:10:32 RAM 3440/3956MB (lfb 10x1MB) SWAP 1553/4026MB (cached 126MB) CPU [20%@1479,19%@1479,18%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@48.5C PMIC@50C GPU@45C AO@55C thermal@46.25C
2023-08-28 00:11:32 RAM 3439/3956MB (lfb 8x1MB) SWAP 1553/4026MB (cached 126MB) CPU [21%@1224,20%@1224,20%@1224,20%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@47C PMIC@50C GPU@45C AO@54.5C thermal@46.75C
2023-08-28 00:12:32 RAM 3441/3956MB (lfb 8x1MB) SWAP 1553/4026MB (cached 126MB) CPU [20%@1479,19%@1479,18%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47C PMIC@50C GPU@45C AO@54.5C thermal@46C
2023-08-28 00:13:32 RAM 3441/3956MB (lfb 8x1MB) SWAP 1554/4026MB (cached 126MB) CPU [16%@1224,15%@1224,15%@1224,16%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@46.5C PMIC@50C GPU@44.5C AO@54C thermal@45.25C
2023-08-28 00:14:32 RAM 3442/3956MB (lfb 7x1MB) SWAP 1557/4026MB (cached 126MB) CPU [20%@1479,21%@1479,18%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@47C PMIC@50C GPU@44C AO@53.5C thermal@44.75C
2023-08-28 00:15:32 RAM 3437/3956MB (lfb 7x1MB) SWAP 1559/4026MB (cached 126MB) CPU [20%@1224,20%@1224,20%@1224,22%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C CPU@46C PMIC@50C GPU@43.5C AO@53C thermal@45C
