2023-08-31 04:59:57 RAM 3416/3956MB (lfb 10x4MB) SWAP 1286/4026MB (cached 80MB) CPU [38%@1479,40%@1479,41%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@43.5C PMIC@50C GPU@39C AO@49.5C thermal@41.5C
2023-08-31 05:00:57 RAM 3427/3956MB (lfb 10x4MB) SWAP 1284/4026MB (cached 81MB) CPU [39%@1479,42%@1479,37%@1479,35%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@42.5C PMIC@50C GPU@40C AO@49.5C thermal@41.25C
2023-08-31 05:01:57 RAM 3424/3956MB (lfb 10x4MB) SWAP 1291/4026MB (cached 81MB) CPU [36%@1479,45%@1479,39%@1479,35%@1479] EMC_FREQ 0% GR3D_FREQ 38% PLL@38.5C CPU@43C PMIC@50C GPU@40C AO@49.5C thermal@41.5C
2023-08-31 05:02:57 RAM 3427/3956MB (lfb 10x4MB) SWAP 1290/4026MB (cached 81MB) CPU [39%@1479,37%@1479,37%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 32% PLL@39C CPU@42.5C PMIC@50C GPU@40C AO@49.5C thermal@41.5C
2023-08-31 05:03:57 RAM 3426/3956MB (lfb 10x4MB) SWAP 1290/4026MB (cached 81MB) CPU [44%@1479,41%@1479,35%@1479,35%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@42C PMIC@50C GPU@39.5C AO@49.5C thermal@42C
2023-08-31 05:04:57 RAM 3428/3956MB (lfb 10x4MB) SWAP 1291/4026MB (cached 81MB) CPU [40%@1479,39%@1479,36%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 88% PLL@38.5C CPU@43.5C PMIC@50C GPU@39.5C AO@49.5C thermal@41.5C
2023-08-31 05:05:57 RAM 3425/3956MB (lfb 10x4MB) SWAP 1291/4026MB (cached 81MB) CPU [38%@1479,41%@1479,37%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 93% PLL@38.5C CPU@44C PMIC@50C GPU@40.5C AO@49.5C thermal@41C
2023-08-31 05:06:57 RAM 3424/3956MB (lfb 10x4MB) SWAP 1291/4026MB (cached 81MB) CPU [38%@1479,38%@1479,38%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@38.5C CPU@42.5C PMIC@50C GPU@39.5C AO@50C thermal@41.25C
2023-08-31 05:07:57 RAM 3434/3956MB (lfb 10x4MB) SWAP 1291/4026MB (cached 81MB) CPU [37%@1479,36%@1479,39%@1479,41%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@42.5C PMIC@50C GPU@39.5C AO@49.5C thermal@41.25C
2023-08-31 05:08:57 RAM 3438/3956MB (lfb 10x4MB) SWAP 1291/4026MB (cached 81MB) CPU [41%@1479,41%@1479,38%@1479,36%@1479] EMC_FREQ 0% GR3D_FREQ 1% PLL@38.5C CPU@43.5C PMIC@50C GPU@39.5C AO@50C thermal@41.5C
2023-08-31 05:09:57 RAM 3439/3956MB (lfb 10x4MB) SWAP 1291/4026MB (cached 81MB) CPU [41%@1479,37%@1479,36%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 72% PLL@38.5C CPU@41.5C PMIC@50C GPU@39.5C AO@49.5C thermal@41C
2023-08-31 05:10:57 RAM 3438/3956MB (lfb 10x4MB) SWAP 1290/4026MB (cached 81MB) CPU [41%@1479,43%@1479,34%@1479,37%@1479] EMC_FREQ 0% GR3D_FREQ 80% PLL@38.5C CPU@43.5C PMIC@50C GPU@40C AO@50C thermal@41C
2023-08-31 05:11:57 RAM 3438/3956MB (lfb 10x4MB) SWAP 1290/4026MB (cached 81MB) CPU [36%@1479,43%@1479,36%@1479,37%@1479] EMC_FREQ 0% GR3D_FREQ 52% PLL@38.5C CPU@42C PMIC@50C GPU@40C AO@50C thermal@41.25C
2023-08-31 05:12:57 RAM 3441/3956MB (lfb 10x4MB) SWAP 1290/4026MB (cached 81MB) CPU [39%@1479,39%@1479,36%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38C CPU@41.5C PMIC@50C GPU@39C AO@49C thermal@39.75C
2023-08-31 05:13:57 RAM 3442/3956MB (lfb 10x4MB) SWAP 1290/4026MB (cached 81MB) CPU [40%@1479,42%@1479,37%@1479,36%@1479] EMC_FREQ 0% GR3D_FREQ 95% PLL@38.5C CPU@42C PMIC@50C GPU@39.5C AO@49C thermal@41C
2023-08-31 05:14:57 RAM 3447/3956MB (lfb 10x4MB) SWAP 1290/4026MB (cached 81MB) CPU [37%@1479,41%@1479,39%@1479,35%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@41C PMIC@50C GPU@38.5C AO@49.5C thermal@41.5C
2023-08-31 05:15:57 RAM 3451/3956MB (lfb 10x4MB) SWAP 1289/4026MB (cached 81MB) CPU [35%@1479,42%@1479,39%@1479,35%@1479] EMC_FREQ 0% GR3D_FREQ 87% PLL@38.5C CPU@44C PMIC@50C GPU@38.5C AO@49.5C thermal@41C
2023-08-31 05:16:57 RAM 3450/3956MB (lfb 10x4MB) SWAP 1293/4026MB (cached 81MB) CPU [38%@1479,37%@1479,35%@1479,44%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@38.5C CPU@42.5C PMIC@50C GPU@39.5C AO@49.5C thermal@41.5C
2023-08-31 05:17:57 RAM 3463/3956MB (lfb 10x4MB) SWAP 1293/4026MB (cached 82MB) CPU [40%@1479,37%@1479,36%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 11% PLL@38C CPU@44C PMIC@50C GPU@39.5C AO@49.5C thermal@41.5C
2023-08-31 05:18:57 RAM 3457/3956MB (lfb 10x4MB) SWAP 1298/4026MB (cached 82MB) CPU [39%@403,42%@403,38%@403,34%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@38.5C CPU@43C PMIC@50C GPU@40C AO@49.5C thermal@41C
2023-08-31 05:19:57 RAM 3458/3956MB (lfb 10x4MB) SWAP 1298/4026MB (cached 82MB) CPU [39%@1479,35%@1479,38%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 88% PLL@38.5C CPU@44C PMIC@50C GPU@39.5C AO@50C thermal@41.25C
2023-08-31 05:20:57 RAM 3461/3956MB (lfb 10x4MB) SWAP 1298/4026MB (cached 82MB) CPU [37%@1479,44%@1479,39%@1479,33%@1479] EMC_FREQ 0% GR3D_FREQ 18% PLL@39C CPU@44.5C PMIC@50C GPU@40C AO@50C thermal@41.5C
2023-08-31 05:21:57 RAM 3462/3956MB (lfb 10x4MB) SWAP 1298/4026MB (cached 82MB) CPU [37%@1479,38%@1479,40%@1479,36%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@43C PMIC@50C GPU@40C AO@49.5C thermal@42C
2023-08-31 05:22:57 RAM 3464/3956MB (lfb 10x4MB) SWAP 1300/4026MB (cached 82MB) CPU [40%@1479,41%@1479,38%@1479,35%@1479] EMC_FREQ 0% GR3D_FREQ 92% PLL@38.5C CPU@43.5C PMIC@50C GPU@40.5C AO@49.5C thermal@42C
2023-08-31 05:23:57 RAM 3465/3956MB (lfb 10x4MB) SWAP 1300/4026MB (cached 82MB) CPU [38%@921,43%@921,37%@921,33%@921] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@42C PMIC@50C GPU@39C AO@50C thermal@41.25C
2023-08-31 05:24:57 RAM 3458/3956MB (lfb 10x4MB) SWAP 1314/4026MB (cached 82MB) CPU [40%@1479,43%@1479,36%@1479,36%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@42C PMIC@50C GPU@39C AO@49.5C thermal@41.25C
2023-08-31 05:25:57 RAM 3401/3956MB (lfb 10x4MB) SWAP 1313/4026MB (cached 81MB) CPU [40%@1479,40%@1479,39%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 34% PLL@39C CPU@43C PMIC@50C GPU@40C AO@50C thermal@41C
2023-08-31 05:26:57 RAM 3399/3956MB (lfb 10x4MB) SWAP 1313/4026MB (cached 81MB) CPU [37%@1479,40%@1479,40%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@44.5C PMIC@50C GPU@40.5C AO@50C thermal@42.5C
2023-08-31 05:27:57 RAM 3406/3956MB (lfb 10x4MB) SWAP 1313/4026MB (cached 81MB) CPU [37%@1479,45%@1479,38%@1479,37%@1479] EMC_FREQ 0% GR3D_FREQ 26% PLL@39.5C CPU@44C PMIC@50C GPU@40.5C AO@50.5C thermal@42C
2023-08-31 05:28:57 RAM 3407/3956MB (lfb 10x4MB) SWAP 1313/4026MB (cached 81MB) CPU [37%@1479,42%@1479,33%@1479,43%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@44.5C PMIC@50C GPU@41C AO@50C thermal@41C
