2023-08-30 23:01:23 RAM 3498/3956MB (lfb 11x1MB) SWAP 1510/4026MB (cached 170MB) CPU [11%@1224,14%@1224,11%@1224,13%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@46C CPU@50.5C PMIC@50C GPU@48C AO@57.5C thermal@49.75C
2023-08-30 23:02:23 RAM 3506/3956MB (lfb 11x1MB) SWAP 1510/4026MB (cached 170MB) CPU [18%@1224,21%@1224,20%@1224,22%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@47C CPU@51C PMIC@50C GPU@48C AO@58.5C thermal@49.75C
2023-08-30 23:03:23 RAM 3507/3956MB (lfb 11x1MB) SWAP 1511/4026MB (cached 169MB) CPU [23%@1479,16%@1479,22%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@47.5C CPU@52.5C PMIC@50C GPU@48.5C AO@58C thermal@50.25C
2023-08-30 23:04:23 RAM 3502/3956MB (lfb 11x1MB) SWAP 1511/4026MB (cached 169MB) CPU [17%@1224,20%@1224,23%@1224,23%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@47C CPU@51C PMIC@50C GPU@48C AO@58C thermal@50C
2023-08-30 23:05:23 RAM 3500/3956MB (lfb 11x1MB) SWAP 1511/4026MB (cached 169MB) CPU [12%@1224,12%@1224,15%@1224,13%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@46C CPU@51C PMIC@50C GPU@48C AO@58C thermal@49.5C
2023-08-30 23:06:23 RAM 3505/3956MB (lfb 11x1MB) SWAP 1511/4026MB (cached 169MB) CPU [17%@1479,19%@1479,20%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@47C CPU@51C PMIC@50C GPU@48C AO@58C thermal@49.25C
2023-08-30 23:07:23 RAM 3509/3956MB (lfb 11x1MB) SWAP 1511/4026MB (cached 169MB) CPU [22%@1224,17%@1224,21%@1224,21%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@46C CPU@50C PMIC@50C GPU@48C AO@57.5C thermal@49.5C
2023-08-30 23:08:23 RAM 3500/3956MB (lfb 11x1MB) SWAP 1511/4026MB (cached 169MB) CPU [24%@1479,17%@1479,24%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@45.5C CPU@50C PMIC@50C GPU@47.5C AO@57C thermal@48.5C
2023-08-30 23:09:23 RAM 3506/3956MB (lfb 11x1MB) SWAP 1511/4026MB (cached 169MB) CPU [17%@1224,17%@1224,14%@1224,12%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@49C PMIC@50C GPU@47C AO@56.5C thermal@48C
2023-08-30 23:10:23 RAM 3507/3956MB (lfb 11x1MB) SWAP 1511/4026MB (cached 170MB) CPU [18%@1479,17%@1479,16%@1479,18%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@45.5C CPU@49.5C PMIC@50C GPU@47C AO@56.5C thermal@48.25C
2023-08-30 23:11:23 RAM 3511/3956MB (lfb 26x1MB) SWAP 1511/4026MB (cached 170MB) CPU [19%@1479,20%@1479,21%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@45C CPU@49C PMIC@50C GPU@46.5C AO@56.5C thermal@47.5C
2023-08-30 23:12:23 RAM 3504/3956MB (lfb 25x1MB) SWAP 1512/4026MB (cached 170MB) CPU [22%@1479,20%@1479,21%@1479,19%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@49.5C PMIC@50C GPU@46.5C AO@56C thermal@47.25C
2023-08-30 23:13:23 RAM 3502/3956MB (lfb 25x1MB) SWAP 1512/4026MB (cached 170MB) CPU [15%@1224,18%@1224,15%@1224,17%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@48.5C PMIC@50C GPU@46.5C AO@56C thermal@47.25C
2023-08-30 23:14:23 RAM 3509/3956MB (lfb 25x1MB) SWAP 1513/4026MB (cached 170MB) CPU [15%@1479,16%@1479,16%@1479,16%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@48.5C PMIC@50C GPU@46.5C AO@55.5C thermal@47.25C
2023-08-30 23:15:23 RAM 3502/3956MB (lfb 25x1MB) SWAP 1513/4026MB (cached 170MB) CPU [20%@1479,21%@1479,22%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@50.5C PMIC@50C GPU@46.5C AO@56C thermal@47.5C
2023-08-30 23:16:23 RAM 3505/3956MB (lfb 25x1MB) SWAP 1517/4026MB (cached 170MB) CPU [23%@1479,19%@1479,21%@1479,19%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@49.5C PMIC@50C GPU@46C AO@56C thermal@47.25C
2023-08-30 23:17:23 RAM 3501/3956MB (lfb 25x1MB) SWAP 1523/4026MB (cached 170MB) CPU [22%@1224,19%@1224,14%@1224,16%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@48C PMIC@50C GPU@46C AO@55.5C thermal@46.75C
2023-08-30 23:18:23 RAM 3504/3956MB (lfb 25x1MB) SWAP 1527/4026MB (cached 170MB) CPU [17%@1479,16%@1479,12%@1479,14%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@49C PMIC@50C GPU@46C AO@55.5C thermal@46.5C
2023-08-30 23:19:23 RAM 3495/3956MB (lfb 25x1MB) SWAP 1531/4026MB (cached 170MB) CPU [23%@1224,19%@1224,19%@1224,22%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@49C PMIC@50C GPU@46C AO@55.5C thermal@47.25C
2023-08-30 23:20:23 RAM 3496/3956MB (lfb 25x1MB) SWAP 1532/4026MB (cached 169MB) CPU [18%@1224,22%@1224,19%@1224,23%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@49C PMIC@50C GPU@46C AO@56C thermal@46.75C
2023-08-30 23:21:23 RAM 3500/3956MB (lfb 25x1MB) SWAP 1527/4026MB (cached 169MB) CPU [16%@1224,22%@1224,20%@1224,19%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@48.5C PMIC@50C GPU@46C AO@55.5C thermal@47.25C
2023-08-30 23:22:23 RAM 3495/3956MB (lfb 25x1MB) SWAP 1527/4026MB (cached 169MB) CPU [15%@1479,12%@1479,13%@1479,14%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@47.5C PMIC@50C GPU@45.5C AO@55C thermal@47.25C
2023-08-30 23:23:23 RAM 3498/3956MB (lfb 25x1MB) SWAP 1527/4026MB (cached 170MB) CPU [20%@1479,21%@1479,20%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@50C PMIC@50C GPU@46C AO@55.5C thermal@46.75C
2023-08-30 23:24:23 RAM 3500/3956MB (lfb 25x1MB) SWAP 1526/4026MB (cached 170MB) CPU [19%@1479,22%@1479,19%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@50C PMIC@50C GPU@46C AO@55.5C thermal@47.25C
2023-08-30 23:25:23 RAM 3489/3956MB (lfb 23x1MB) SWAP 1533/4026MB (cached 170MB) CPU [21%@1479,23%@1479,21%@1479,19%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@48C PMIC@50C GPU@45.5C AO@55.5C thermal@47C
2023-08-30 23:26:23 RAM 3494/3956MB (lfb 23x1MB) SWAP 1532/4026MB (cached 172MB) CPU [11%@1479,12%@1479,13%@1479,12%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@48.5C PMIC@50C GPU@45C AO@55.5C thermal@46.75C
2023-08-30 23:27:23 RAM 3498/3956MB (lfb 23x1MB) SWAP 1535/4026MB (cached 172MB) CPU [18%@1224,20%@1224,22%@1224,22%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@48C PMIC@50C GPU@45.5C AO@55C thermal@48.25C
2023-08-30 23:28:23 RAM 3498/3956MB (lfb 23x1MB) SWAP 1538/4026MB (cached 171MB) CPU [22%@1479,20%@1479,21%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@50.5C PMIC@50C GPU@46C AO@55.5C thermal@48.25C
2023-08-30 23:29:23 RAM 3491/3956MB (lfb 23x1MB) SWAP 1543/4026MB (cached 172MB) CPU [23%@1224,22%@1224,19%@1224,21%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@48.5C PMIC@50C GPU@46C AO@55C thermal@48.5C
2023-08-30 23:30:23 RAM 3489/3956MB (lfb 22x1MB) SWAP 1548/4026MB (cached 171MB) CPU [11%@1224,13%@1224,13%@1224,11%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@48C PMIC@50C GPU@45.5C AO@55C thermal@47C
2023-08-30 23:31:23 RAM 3493/3956MB (lfb 22x1MB) SWAP 1551/4026MB (cached 171MB) CPU [20%@1224,23%@1224,21%@1224,23%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@45C CPU@49C PMIC@50C GPU@46.5C AO@56C thermal@47.75C
2023-08-30 23:32:23 RAM 3484/3956MB (lfb 22x1MB) SWAP 1551/4026MB (cached 171MB) CPU [19%@1224,22%@1224,22%@1224,22%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@48.5C PMIC@50C GPU@46C AO@56C thermal@48C
2023-08-30 23:33:23 RAM 3489/3956MB (lfb 22x1MB) SWAP 1551/4026MB (cached 171MB) CPU [18%@1224,20%@1224,20%@1224,24%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@48.5C PMIC@50C GPU@46C AO@55.5C thermal@47.75C
2023-08-30 23:34:23 RAM 3489/3956MB (lfb 22x1MB) SWAP 1552/4026MB (cached 171MB) CPU [12%@1224,12%@1224,13%@1224,12%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@48.5C PMIC@50C GPU@45.5C AO@55C thermal@46.75C
2023-08-30 23:35:23 RAM 3487/3956MB (lfb 22x1MB) SWAP 1552/4026MB (cached 171MB) CPU [23%@1479,21%@1479,18%@1479,19%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@50C PMIC@50C GPU@46.5C AO@55.5C thermal@47.75C
2023-08-30 23:36:23 RAM 3489/3956MB (lfb 22x1MB) SWAP 1552/4026MB (cached 171MB) CPU [19%@1479,24%@1479,19%@1479,18%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@49C PMIC@50C GPU@45.5C AO@56C thermal@48.25C
2023-08-30 23:37:23 RAM 3491/3956MB (lfb 22x1MB) SWAP 1554/4026MB (cached 171MB) CPU [19%@1479,21%@1479,20%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@45C CPU@49C PMIC@50C GPU@46C AO@55.5C thermal@47.25C
2023-08-30 23:38:23 RAM 3491/3956MB (lfb 22x1MB) SWAP 1554/4026MB (cached 171MB) CPU [16%@1224,14%@1224,11%@1224,12%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@48.5C PMIC@50C GPU@45.5C AO@55.5C thermal@47C
2023-08-30 23:39:23 RAM 3487/3956MB (lfb 22x1MB) SWAP 1557/4026MB (cached 171MB) CPU [19%@1479,18%@1479,17%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@48.5C PMIC@50C GPU@45.5C AO@55.5C thermal@46.5C
2023-08-30 23:40:23 RAM 3486/3956MB (lfb 22x1MB) SWAP 1563/4026MB (cached 171MB) CPU [22%@1479,21%@1479,20%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@48.5C PMIC@50C GPU@46C AO@56C thermal@47.25C
2023-08-30 23:41:23 RAM 3486/3956MB (lfb 22x1MB) SWAP 1566/4026MB (cached 171MB) CPU [20%@1479,19%@1479,23%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@50C PMIC@50C GPU@46.5C AO@56C thermal@47.25C
2023-08-30 23:42:23 RAM 3477/3956MB (lfb 22x1MB) SWAP 1566/4026MB (cached 171MB) CPU [16%@1224,19%@1224,11%@1224,14%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@48.5C PMIC@50C GPU@46C AO@55.5C thermal@47C
2023-08-30 23:43:23 RAM 3483/3956MB (lfb 22x1MB) SWAP 1566/4026MB (cached 171MB) CPU [16%@1479,14%@1479,19%@1479,19%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@48.5C PMIC@50C GPU@46C AO@56C thermal@47.5C
