2023-08-30 19:18:13 RAM 3216/3956MB (lfb 94x4MB) SWAP 1583/4026MB (cached 103MB) CPU [37%@307,29%@307,33%@307,27%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@48C PMIC@50C GPU@45C AO@55C thermal@47.25C
2023-08-30 19:19:13 RAM 3214/3956MB (lfb 94x4MB) SWAP 1583/4026MB (cached 103MB) CPU [36%@307,25%@307,26%@403,23%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@46.5C PMIC@50C GPU@44.5C AO@54.5C thermal@46C
2023-08-30 19:20:13 RAM 3219/3956MB (lfb 94x4MB) SWAP 1582/4026MB (cached 103MB) CPU [37%@825,22%@825,26%@825,21%@825] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@46.5C PMIC@50C GPU@45C AO@54.5C thermal@46.25C
2023-08-30 19:21:13 RAM 3217/3956MB (lfb 94x4MB) SWAP 1586/4026MB (cached 103MB) CPU [26%@307,31%@307,30%@307,24%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@47C PMIC@50C GPU@44.5C AO@54.5C thermal@46.75C
2023-08-30 19:22:13 RAM 3214/3956MB (lfb 94x4MB) SWAP 1593/4026MB (cached 103MB) CPU [39%@1479,31%@1479,30%@1479,27%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47C PMIC@50C GPU@44.5C AO@54C thermal@45C
2023-08-30 19:23:13 RAM 3214/3956MB (lfb 94x4MB) SWAP 1603/4026MB (cached 105MB) CPU [19%@1224,20%@1224,16%@1224,15%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47C PMIC@50C GPU@44.5C AO@54C thermal@45.25C
2023-08-30 19:24:13 RAM 3208/3956MB (lfb 94x4MB) SWAP 1604/4026MB (cached 105MB) CPU [24%@518,27%@518,28%@518,21%@518] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@47C PMIC@50C GPU@44.5C AO@54C thermal@45.25C
2023-08-30 19:25:13 RAM 3207/3956MB (lfb 94x4MB) SWAP 1604/4026MB (cached 105MB) CPU [27%@307,23%@307,32%@307,25%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@46.5C PMIC@50C GPU@44.5C AO@54C thermal@45.75C
2023-08-30 19:26:13 RAM 3225/3956MB (lfb 94x4MB) SWAP 1603/4026MB (cached 105MB) CPU [29%@1479,24%@1479,22%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47C PMIC@50C GPU@44.5C AO@54.5C thermal@45.25C
2023-08-30 19:27:13 RAM 3185/3956MB (lfb 94x4MB) SWAP 1660/4026MB (cached 108MB) CPU [30%@518,28%@518,24%@518,22%@518] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47C PMIC@50C GPU@44.5C AO@54C thermal@45.5C
