Filename,Frente+Umida,Fundo+Intermediaria,Meio+Seca,camendoim6sCenL1
frame06501.png,0.2022597,0.24355267,0.22381239,0.33037525
frame06561.png,0.2022372,0.24952088,0.23136723,0.3168747
frame06791.png,0.20472817,0.2513832,0.2362756,0.30761304
frame06801.png,0.20456184,0.25126526,0.2360926,0.30808032
frame06831.png,0.19619629,0.2373585,0.2135883,0.35285693
frame06841.png,0.1962689,0.2363946,0.21257299,0.35476348
frame06871.png,0.19782284,0.24315841,0.22223137,0.3367874
frame06891.png,0.19780652,0.24202853,0.22082692,0.33933806
frame06961.png,0.19852488,0.24491526,0.22411823,0.33244166
frame06991.png,0.19281447,0.24267365,0.21908996,0.34542194
frame07081.png,0.19608253,0.24245878,0.22075099,0.3407077
frame07131.png,0.20033078,0.2441974,0.22439954,0.3310723
frame07161.png,0.20213494,0.2469117,0.22906533,0.3218881
frame07181.png,0.20216727,0.24676833,0.22897354,0.32209086
frame07191.png,0.20259884,0.24682951,0.22942807,0.32114354
frame07291.png,0.20284513,0.24606523,0.22863199,0.3224576
frame07301.png,0.2041866,0.24676186,0.2302258,0.31882572
frame07391.png,0.20020843,0.24129297,0.22171398,0.3367846
frame07431.png,0.19874002,0.24058717,0.22052072,0.3401521
frame07441.png,0.19849043,0.24074124,0.2204785,0.34028986
frame07481.png,0.20100318,0.2445662,0.22556528,0.32886532
frame07501.png,0.20100775,0.24507235,0.22619833,0.32772157
frame07511.png,0.20148617,0.24470101,0.22604965,0.32776317
frame07591.png,0.1983453,0.242066,0.22147456,0.3381141
frame07741.png,0.19787782,0.24189727,0.22061627,0.3396087
frame07801.png,0.20204887,0.24790464,0.2292424,0.32080412
frame07811.png,0.20169361,0.24817675,0.22940595,0.3207237
frame07851.png,0.21009137,0.25158098,0.23856625,0.29976138
frame07931.png,0.2011777,0.24930635,0.23092149,0.31859446
frame07951.png,0.20197912,0.24990474,0.23220788,0.31590822
frame08051.png,0.2025085,0.25027272,0.23340704,0.31381178
frame08071.png,0.20244002,0.25001577,0.2330267,0.31451753
frame08091.png,0.2005228,0.24413586,0.22410423,0.33123714
frame08181.png,0.20062764,0.2440242,0.22453734,0.33081076
frame08211.png,0.20106594,0.24472868,0.2255344,0.32867095
frame08221.png,0.20178665,0.24492815,0.22611362,0.32717156
frame08281.png,0.20062368,0.24525766,0.22639479,0.32772383
frame08311.png,0.20071615,0.24582832,0.2269952,0.32646036
frame08351.png,0.19810057,0.24249613,0.2215661,0.33783722
frame08361.png,0.19773464,0.24238543,0.22120872,0.3386712
frame08371.png,0.19832258,0.2428829,0.22213233,0.3366622
frame08381.png,0.19871783,0.24292752,0.22253236,0.3358223
frame08401.png,0.20831932,0.2532544,0.2395021,0.29892418
frame08411.png,0.20852074,0.25324923,0.23959672,0.2986333
frame08421.png,0.20895198,0.25359148,0.24021131,0.29724523
frame08651.png,0.20085098,0.24414878,0.22573997,0.3292603
frame08681.png,0.20069517,0.24433729,0.22562161,0.3293459
frame08691.png,0.20033033,0.24402168,0.22513121,0.33051682
frame08711.png,0.20074362,0.24422948,0.22565755,0.32936937
frame08821.png,0.19985935,0.24058631,0.2207525,0.33880186
frame09011.png,0.19485737,0.23974213,0.21753716,0.34786332
frame09021.png,0.19573508,0.24061088,0.21898174,0.34467226
frame09051.png,0.19857916,0.24547988,0.22516213,0.33077878
frame09101.png,0.20453125,0.24476485,0.22740121,0.32330263
frame09111.png,0.20420991,0.24456649,0.22696817,0.32425544
frame09121.png,0.20425332,0.24435104,0.22669266,0.32470298
